request_num,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,total_time_ms,http_code
1,.034000,30.817000,0,59.568000,59.759000,200
2,.020000,29.741000,0,58.447000,58.554000,200
3,.023000,31.332000,0,59.666000,59.807000,200
4,.099000,29.156000,0,60.331000,60.637000,200
5,.021000,30.086000,0,58.110000,58.214000,200
6,.022000,28.147000,0,56.762000,56.923000,200
7,.032000,28.375000,0,55.606000,55.732000,200
8,.018000,28.243000,0,55.655000,55.746000,200
9,.023000,28.647000,0,57.536000,57.687000,200
10,.019000,33.880000,0,62.451000,62.539000,200
11,.020000,31.038000,0,59.248000,59.345000,200
12,.020000,28.085000,0,56.426000,56.587000,200
13,.046000,29.514000,0,58.213000,58.426000,200
14,.021000,29.012000,0,56.726000,56.858000,200
15,.029000,36.985000,0,65.342000,65.480000,200
16,.022000,33.542000,0,62.093000,62.293000,200
17,.025000,28.362000,0,55.485000,55.570000,200
18,.021000,27.748000,0,57.415000,57.579000,200
19,.054000,1056.889000,0,1085.053000,1085.185000,200
20,.034000,28.550000,0,56.300000,56.407000,200
21,.052000,29.121000,0,57.753000,58.135000,200
22,.021000,31.155000,0,59.971000,60.059000,200
23,.021000,34.015000,0,61.833000,61.937000,200
24,.031000,30.353000,0,58.976000,59.104000,200
25,.073000,30.224000,0,58.284000,58.412000,200
26,.064000,30.542000,0,59.117000,59.294000,200
27,.034000,30.324000,0,58.828000,58.998000,200
28,.031000,28.589000,0,56.410000,56.530000,200
29,.021000,38.498000,0,67.265000,67.398000,200
30,.035000,34.121000,0,62.778000,62.933000,200
31,.032000,28.533000,0,56.362000,56.474000,200
32,.023000,27.403000,0,54.987000,55.113000,200
33,.021000,28.512000,0,56.265000,56.395000,200
34,.282000,29.391000,0,57.348000,57.450000,200
35,.019000,33.377000,0,62.085000,62.258000,200
36,.079000,30.703000,0,58.813000,58.976000,200
37,.023000,29.753000,0,57.544000,57.670000,200
38,.020000,28.080000,0,55.743000,55.825000,200
39,.032000,29.833000,0,57.830000,57.968000,200
40,.100000,28.350000,0,56.006000,56.147000,200
41,.033000,30.143000,0,57.734000,57.832000,200
42,.021000,31.424000,0,58.873000,58.952000,200
43,.024000,29.445000,0,57.162000,57.247000,200
44,.021000,27.908000,0,55.850000,55.955000,200
45,.021000,28.353000,0,55.866000,55.965000,200
46,.022000,30.373000,0,57.825000,57.929000,200
47,.034000,28.531000,0,56.090000,56.210000,200
48,.020000,28.600000,0,56.698000,56.786000,200
49,.022000,30.591000,0,58.304000,58.453000,200
50,.020000,32.170000,0,60.445000,60.554000,200
51,.020000,30.630000,0,58.432000,58.540000,200
52,.021000,30.566000,0,61.193000,61.424000,200
53,.021000,27.976000,0,55.261000,55.343000,200
54,.054000,28.932000,0,56.534000,56.637000,200
55,.025000,30.338000,0,58.056000,58.140000,200
56,.020000,28.342000,0,56.675000,56.808000,200
57,.041000,34.589000,0,62.372000,62.548000,200
58,.053000,32.227000,0,61.340000,61.520000,200
59,.084000,28.727000,0,56.503000,56.674000,200
60,.030000,27.954000,0,55.472000,55.592000,200
61,.021000,30.438000,0,57.850000,57.961000,200
62,.029000,28.031000,0,55.792000,55.890000,200
63,.029000,28.925000,0,56.660000,56.755000,200
64,.022000,30.363000,0,58.974000,59.120000,200
65,.074000,30.090000,0,58.007000,58.145000,200
66,.054000,30.471000,0,58.879000,59.010000,200
67,.031000,28.793000,0,56.385000,56.469000,200
68,.019000,28.900000,0,56.903000,57.020000,200
69,.018000,29.278000,0,58.339000,58.699000,200
70,.074000,29.677000,0,57.762000,57.908000,200
71,.058000,29.428000,0,58.088000,58.332000,200
72,.034000,28.175000,0,56.063000,56.210000,200
73,.023000,28.444000,0,56.523000,56.756000,200
74,.020000,27.830000,0,55.487000,55.554000,200
75,.024000,33.410000,0,61.678000,61.817000,200
76,.019000,37.643000,0,65.750000,65.893000,200
77,.047000,30.460000,0,58.384000,58.541000,200
78,.050000,40.333000,0,68.795000,68.993000,200
79,.028000,29.153000,0,57.886000,58.219000,200
80,.020000,30.298000,0,57.451000,57.578000,200
81,.025000,28.307000,0,56.191000,56.330000,200
82,.033000,29.077000,0,57.225000,57.365000,200
83,.019000,37.510000,0,64.681000,64.774000,200
84,.022000,30.598000,0,57.718000,57.784000,200
85,.030000,34.368000,0,63.539000,63.662000,200
86,.020000,31.646000,0,60.072000,60.230000,200
87,.031000,31.361000,0,59.889000,59.974000,200
88,.060000,34.096000,0,61.837000,61.915000,200
89,.021000,31.119000,0,63.103000,63.210000,200
90,.037000,30.702000,0,59.487000,59.638000,200
91,.028000,28.364000,0,58.108000,58.195000,200
92,.020000,28.335000,0,56.012000,56.105000,200
93,.019000,28.019000,0,56.007000,56.155000,200
94,.021000,28.241000,0,55.725000,55.828000,200
95,.027000,27.844000,0,55.423000,55.533000,200
96,.024000,28.608000,0,57.877000,58.153000,200
97,.035000,28.399000,0,56.860000,57.248000,200
98,.026000,31.601000,0,59.450000,59.562000,200
99,.027000,28.869000,0,57.179000,57.299000,200
100,.052000,34.468000,0,62.316000,62.460000,200
